Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
train-1,asok01,bacass,106000,NFCORE_BACASS:BACASS:SKEWER,21260709,39000,111.0,6438912,150749255,147406622,8,0,90509312,565379072,8589934592,6438912,21260709,56851168,56851168
train-1,asok01,bacass,53000,NFCORE_BACASS:BACASS:FASTQC,10628739,5000,271.4,375521280,32563400,3570137,8,4096,3952640,5252030464,8589934592,377888768,10628739,28424968,28424968
train-1,asok01,bacass,847800,NFCORE_BACASS:BACASS:FASTQC,170150021,19000,220.4,639578112,191944208,3598788,8,0,3969024,5247836160,8589934592,639848448,170150021,454712168,454712168
train-1,asok01,bacass,1695400,NFCORE_BACASS:BACASS:FASTQC,340242074,31000,217.4,1430712320,362042732,3611123,8,0,3973120,5171949568,8589934592,1430712320,340242074,909318168,909318168
train-1,asok01,bacass,212000,NFCORE_BACASS:BACASS:FASTQC,42560238,8000,256.9,415059968,64481148,3589584,8,0,3952640,5252030464,8589934592,418578432,42560238,113703568,113703568
train-1,asok01,bacass,212000,NFCORE_BACASS:BACASS:SKEWER,42560238,76000,109.5,9408512,301394646,294780467,8,0,181030912,585027584,8589934592,9408512,42560238,113703568,113703568
train-1,asok01,bacass,424000,NFCORE_BACASS:BACASS:SKEWER,85109040,154000,109.3,9322496,602674280,589544783,8,0,362082304,585027584,8589934592,9322496,85109040,227409168,227409168
train-1,asok01,bacass,1695400,NFCORE_BACASS:BACASS:SKEWER,340242074,611000,109.3,10866688,2409919913,2357857585,8,0,1448497152,585297920,8589934592,10866688,340242074,909318168,909318168
train-1,asok01,bacass,847800,NFCORE_BACASS:BACASS:SKEWER,170150021,304000,109.4,9719808,1204934363,1178785841,8,0,724021248,585191424,8589934592,9719808,170150021,454712168,454712168
train-1,asok01,bacass,53000,NFCORE_BACASS:BACASS:SKEWER,10628739,19000,109.5,6500352,75432790,73725814,8,0,45223936,565379072,8589934592,6500352,10628739,28424968,28424968
