Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
train-1,asok01,methylseq,3476800,fastqc,255921460,35603,183.9,494669824,272656128,4261767,2,4096,5005312,3465068544,6442450944,495329280,255921460,1064228578,1064228578
train-1,asok01,methylseq,13907000,trim_galore,1023173576,832396,162.3,247787520,19933252149,18802908880,2,76943360,1771978752,3063574528,6442450944,248799232,1023175367,4256857953,4256856162
train-1,asok01,methylseq,6953600,fastqc,511782539,61720,185.9,533680128,528499835,4240156,2,233472,5013504,3467165696,6442450944,534138880,511782539,2128458534,2128458534
train-1,asok01,methylseq,869200,fastqc,64015718,15682,173.0,531202048,80790132,4318837,2,249856,4677632,3465068544,6442450944,531734528,64015718,266056874,266056874
train-1,asok01,methylseq,1738400,fastqc,128039541,24588,180.9,542019584,144807481,4294517,2,65536,4964352,3467165696,6442450944,542019584,128039541,532113248,532113248
train-1,asok01,methylseq,434600,fastqc,32000877,14907,167.2,452374528,48859600,4344179,2,0,4706304,3467165696,6442450944,452374528,32000877,133026738,133026738
train-1,asok01,methylseq,13907000,fastqc,1023173576,114933,191.3,556441600,1040012373,4239552,2,49152,4919296,3467165696,6442450944,556523520,1023173576,4256856162,4256856162
train-1,asok01,methylseq,27813800,fastqc,2045753783,210924,192.2,522080256,2062476454,4238204,2,200704,4939776,3465068544,6442450944,522563584,2045753783,8513652210,8513652210
train-1,asok01,methylseq,434600,trim_galore,32000877,43216,149.4,308289536,730149115,648416078,2,528384,60018688,3144028160,6442450944,308400128,32002668,133028529,133026738
train-1,asok01,methylseq,3476800,trim_galore,255921460,224485,158.7,316788736,5296216731,4933583801,2,581632,446701568,3144028160,6442450944,317681664,255923251,1064230369,1064228578
train-1,asok01,methylseq,27813800,trim_galore,2045753783,1706562,157.0,257703936,39448470449,37294903453,2,861073408,3538579456,3063570432,6442450944,258633728,2045755574,8513654001,8513652210
train-1,asok01,methylseq,869200,trim_galore,64015718,66045,157.3,312877056,1422743357,1293156380,2,147456,115314688,3144024064,6442450944,313544704,64017509,266058665,266056874
train-1,asok01,methylseq,217400,fastqc,16014660,9584,187.1,394911744,32817251,4343109,2,0,4800512,3469262848,6442450944,394911744,16014660,66544328,66544328
train-1,asok01,methylseq,6953600,trim_galore,511782539,413897,165.3,248508416,10174983993,9556143236,2,14561280,888442880,3063570432,6442450944,248541184,511784330,2128460325,2128458534
train-1,asok01,methylseq,1738400,trim_galore,128039541,114070,164.0,236851200,2807883711,2582592474,2,1372160,225894400,3063439360,6442450944,238956544,128041332,532115039,532113248
train-1,asok01,methylseq,217400,trim_galore,16014660,25713,150.5,207790080,384608600,326797283,2,0,32460800,3139833856,6442450944,207790080,16016451,66546119,66544328
train-1,asok01,methylseq,108800,fastqc,8016886,8593,173.2,394498048,24988044,4358629,2,0,4739072,3469262848,6442450944,394588160,8016886,33303052,33303052
train-1,asok01,methylseq,54400,fastqc,4005191,7549,170.9,297779200,20813217,4384014,2,0,4743168,3469262848,6442450944,297779200,4005191,16652158,16652158
train-1,asok01,methylseq,108800,trim_galore,8016886,18340,148.2,255287296,211565008,165738967,2,0,18722816,3144024064,6442450944,255352832,8018677,33304843,33303052
train-1,asok01,methylseq,54400,trim_galore,4005191,13571,145.8,183255040,124978912,85185382,2,0,11841536,3144024064,6442450944,183349248,4006982,16653949,16652158
train-1,asok01,methylseq,434600,bismark_align,32000877,24511,129.5,83566592,880237720,673947837,2,19750912,131936256,479858688,6442450944,83566592,27519617,130156697,133026738
train-1,asok01,methylseq,3476800,bismark_align,255921460,148607,169.7,83755008,6916363051,5399698275,2,19800064,1057062912,479879168,6442450944,83755008,220531096,1042788623,1064228578
train-1,asok01,methylseq,869200,bismark_align,64015718,41849,149.1,83161088,1743329946,1349633850,2,4968448,264220672,479842304,6442450944,83161088,55142567,260641813,266056874
