Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
train-1,asok02,atacseq,1175000,FASTQC,58238751,19038,154.6,299995136,89136521,3615192,6,20480,4046848,4555874304,17179869184,300666880,58238751,220203968,220203968
train-1,asok02,atacseq,4699600,FASTQC,233161053,51140,119.4,773582848,264075957,3653079,6,0,4096000,4475781120,17179869184,773582848,233161053,880745968,880745968
train-1,asok02,atacseq,147000,FASTQC,7287465,8865,200.3,275341312,38172205,3579489,6,0,3952640,4555874304,17179869184,275341312,7287465,27547568,27547568
train-1,asok02,atacseq,2349800,FASTQC,116545329,29026,135.5,335020032,147448080,3625598,6,0,3993600,4475781120,17179869184,335020032,116545329,440371968,440371968
train-1,asok02,atacseq,37596126,FASTQC,1862380804,349150,103.3,1137786880,1893391922,3704580,6,0,4386816,4555874304,17179869184,1139867648,1862380804,7045849256,7045849256
train-1,asok02,atacseq,587600,FASTQC,29105620,12875,176.3,233639936,59999025,3604206,6,0,3977216,4551680000,17179869184,233664512,29105620,110119968,110119968
train-1,asok02,atacseq,18798126,FASTQC,931822514,178025,105.8,1076699136,962817282,3683250,6,0,4136960,4551680000,17179869184,1076699136,931822514,3522936056,3522936056
train-1,asok02,atacseq,293800,FASTQC,14554208,8910,209.8,261509120,45448349,3601557,6,0,3977216,4555874304,17179869184,261611520,14554208,55059168,55059168
train-1,asok02,atacseq,73600,FASTQC,3653358,6976,231.9,252489728,34539917,3596867,6,0,3973120,4555874304,17179869184,255967232,3653358,13791968,13791968
train-1,asok02,atacseq,9399126,FASTQC,466177547,94093,111.2,1129762816,497103190,3673557,6,0,4075520,4555874304,17179869184,1131876352,466177547,1761479256,1761479256
train-1,asok02,atacseq,147000,TRIMGALORE,7287465,12236,259.7,250732544,256095776,211748527,8,0,16232448,3277713408,17179869184,250732544,7287465,27547568,27547568
train-1,asok02,atacseq,37596126,TRIMGALORE,1862380804,729157,464.1,2084511744,51769841082,49827776916,8,0,3103174656,3197624320,17179869184,2084802560,1862380804,7045849256,7045849256
train-1,asok02,atacseq,293800,TRIMGALORE,14554208,15066,303.7,254967808,474171608,419193787,8,0,28327936,3277709312,17179869184,255070208,14554208,55059168,55059168
train-1,asok02,atacseq,4699600,TRIMGALORE,233161053,101560,437.0,516206592,6708792525,6395927137,8,0,391561216,3277709312,17179869184,523517952,233161053,880745968,880745968
train-1,asok02,atacseq,587600,TRIMGALORE,29105620,21711,331.2,304922624,910878233,834603891,8,0,52588544,3277742080,17179869184,307007488,29105620,110119968,110119968
train-1,asok02,atacseq,2349800,TRIMGALORE,116545329,55690,417.7,373182464,3490390579,3294132988,8,0,197902336,3277713408,17179869184,383832064,116545329,440371968,440371968
