Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
train-1,asok02,eager,13154200,fastqc,885333729,140902,148.1,368402432,931634797,2049706,2,885649408,3645440,3091722240,4294967296,368402432,885333729,4165233066,4165233066
train-1,asok02,eager,1644400,fastqc,111047111,28789,129.5,377176064,146773956,2036536,2,111190016,2781184,3091722240,4294967296,377176064,111047111,520689150,520689150
train-1,asok02,eager,822200,fastqc,55489783,16585,140.9,343191552,80647308,2035568,2,55656448,2527232,3087507456,4294967296,343191552,55489783,260344382,260344382
train-1,asok02,eager,6577200,fastqc,442941088,70591,162.4,368951296,478670932,2047552,2,442945536,2994176,3091722240,4294967296,369029120,442941088,2082645444,2082645444
test,asok02,eager,26308272,fastqc,1515197090,230997,168.7,374931456,1561497121,2041899,2,1515442176,3821568,3091722240,4294967296,374931456,1515197090,8330435694,8330435694
train-1,asok02,eager,205600,fastqc,13863699,9611,163.3,360583168,49629057,2031604,2,13897728,2482176,3087507456,4294967296,360583168,13863699,65101034,65101034
train-1,asok02,eager,3288600,fastqc,221816429,35611,181.7,381239296,257555142,2051984,2,222089216,2506752,3091722240,4294967296,381325312,221816429,1041322068,1041322068
train-1,asok02,eager,411200,fastqc,27757972,14612,132.0,373067776,52939153,2043505,2,27914240,2506752,3089604608,4294967296,373067776,27757972,130201246,130201246
train-1,asok02,eager,102800,fastqc,6936992,9680,162.5,330207232,42714383,2013068,2,6946816,2465792,3091476480,4294967296,330207232,6936992,32547762,32547762
train-1,asok02,eager,51400,fastqc,3472602,7723,157.6,323268608,39237307,2030046,2,3629056,2412544,3091722240,4294967296,323575808,3472602,16270684,16270684
train-1,asok02,eager,25800,fastqc,1745321,7728,168.9,307826688,37520627,2032244,2,1748992,2416640,3091722240,4294967296,307826688,1745321,8167824,8167824
train-1,asok02,eager,411200,adapter_removal,27757972,13086,168.7,186908672,76311392,52037025,8,7823360,52097024,18295517184,15032385536,186908672,27758117,130201391,130201246
train-1,asok02,eager,1644400,adapter_removal,111047111,50006,163.5,185671680,295566452,207931060,8,16453632,208011264,18295517184,15032385536,185671680,111047256,520689295,520689150
