Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
train-1,c2,methylseq,13907000,fastqc,1023173576,63444,189.8,559861760,1040086127,4184562,2,506990592,4493312,3465068544,6442450944,559861760,1023173576,4256856162,4256856162
train-1,c2,methylseq,3476800,fastqc,255921460,21448,183.8,564834304,272699317,4206779,2,124264448,4517888,3469262848,6442450944,567013376,255921460,1064228578,1064228578
train-1,c2,methylseq,27813800,fastqc,2045753783,122508,189.0,519143424,2062466698,4183210,2,2045984768,4481024,3465068544,6442450944,519163904,2045753783,8513652210,8513652210
train-1,c2,methylseq,6953600,fastqc,511782539,35363,185.7,464375808,528499225,4185149,2,388345856,4493312,3388805120,6442450944,464379904,511782539,2128458534,2128458534
train-1,c2,methylseq,1738400,fastqc,128039541,15354,165.8,471941120,144779482,4239525,2,128114688,4542464,3465068544,6442450944,472334336,128039541,532113248,532113248
train-1,c2,methylseq,434600,fastqc,32000877,8364,161.0,554512384,48762568,4289184,2,32055296,4603904,3469262848,6442450944,554598400,32000877,133026738,133026738
train-1,c2,methylseq,869200,fastqc,64015718,8378,181.9,534482944,80762606,4263828,2,64073728,4558848,3465068544,6442450944,534482944,64015718,266056874,266056874
train-1,c2,methylseq,27813800,trim_galore,2045753783,1131940,163.0,257847296,39448449554,37294848433,2,962109440,3537367040,3063566336,6442450944,257847296,2045755574,8513654001,8513652210
train-1,c2,methylseq,1738400,trim_galore,128039541,81861,164.4,239300608,2807863498,2582537457,2,282624,225759232,3063431168,6442450944,239300608,128041332,532115039,532113248
train-1,c2,methylseq,13907000,trim_galore,1023173576,573411,161.5,261529600,19933215821,18802853847,2,114864128,1771503616,3133825024,6442450944,261529600,1023175367,4256857953,4256856162
train-1,c2,methylseq,6953600,trim_galore,511782539,296156,162.8,329371648,10174963249,9556088225,2,56389632,888274944,3143888896,6442450944,331608064,511784330,2128460325,2128458534
train-1,c2,methylseq,217400,fastqc,16014660,7312,171.6,341467136,32774640,4288102,2,16019456,4599808,3465068544,6442450944,341467136,16014660,66544328,66544328
train-1,c2,methylseq,54400,fastqc,4005191,4338,151.2,251203584,20793156,4328993,2,4009984,4640768,3469262848,6442450944,252010496,4005191,16652158,16652158
train-1,c2,methylseq,869200,trim_galore,64015718,43215,156.8,293392384,1422723828,1293101340,2,28901376,115179520,3144024064,6442450944,293392384,64017509,266058665,266056874
train-1,c2,methylseq,108800,fastqc,8016886,7357,159.6,323063808,24931692,4303624,2,8024064,4636672,3469262848,6442450944,323063808,8016886,33303052,33303052
train-1,c2,methylseq,3476800,trim_galore,255921460,149593,159.8,251281408,5296229512,4933561538,2,26914816,446550016,3133820928,6442450944,251281408,255923251,1064230369,1064228578
train-1,c2,methylseq,434600,trim_galore,32000877,28191,156.4,327512064,730130374,648361074,2,14770176,59867136,3144024064,6442450944,332025856,32002668,133028529,133026738
train-1,c2,methylseq,217400,trim_galore,16014660,17451,153.0,306028544,384596568,326742255,2,0,32337920,3144028160,6442450944,309735424,16016451,66546119,66544328
train-1,c2,methylseq,108800,trim_galore,8016886,12535,153.8,242552832,211552156,165683950,2,0,18567168,3144024064,6442450944,244408320,8018677,33304843,33303052
train-1,c2,methylseq,54400,trim_galore,4005191,9093,146.6,205619200,124968495,85130352,2,0,11710464,3143892992,6442450944,205619200,4006982,16653949,16652158
test,c2,methylseq,55627460,trim_galore,3610674241,2284606,164.5,258998272,77979782003,74269514263,2,4387840000,7061643264,3063566336,6442450944,260722688,3610676032,17027258809,17027257018
test,c2,methylseq,55627460,fastqc,3610674241,217369,191.4,548872192,3627382906,4173981,2,122880,4476928,3469262848,6442450944,548872192,3610674241,17027257018,17027257018
train-1,c2,methylseq,1738400,bismark_align,128039541,53946,167.4,82874368,3468923443,2700577616,2,72335360,528678912,479858688,6442450944,82874368,110348217,521533027,532113248
train-1,c2,methylseq,13907000,bismark_align,1023173576,361644,178.0,82866176,27606120690,21598468080,2,2434674688,4228153344,479879168,6442450944,82866176,881753230,4171130315,4256856162
train-1,c2,methylseq,6953600,bismark_align,511782539,179306,179.3,82952192,13811924185,10798379954,2,283582464,2113912832,479850496,6442450944,82952192,440963041,2085400725,2128458534
train-1,c2,methylseq,869200,bismark_align,64015718,27668,148.7,82464768,1743329171,1349633887,2,36458496,264208384,479879168,6442450944,82464768,55142567,260641813,266056874
train-1,c2,methylseq,27813800,bismark_align,2045753783,796804,173.4,83054592,55191343259,43196510075,2,10240675840,8456208384,479916032,6442450944,83054592,1763013412,8342183687,8513652210
