Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
test,local,eager,26308272,fastqc,1515197090,115314,195.4,349499392,1561224162,2041898,2,90112,3072000,3087515648,4294967296,350736384,1515197090,8330435694,8330435694
train-1,local,eager,205600,fastqc,13863699,15351,74.4,376664064,49468080,2031602,2,9637888,2613248,3089612800,4294967296,377815040,13863699,65101034,65101034
train-1,local,eager,822200,fastqc,55489783,11900,139.4,375799808,91066223,2035579,2,2314240,2461696,3091730432,4294967296,382164992,55489783,260344382,260344382
train-1,local,eager,3288600,fastqc,221816429,21386,187.8,390873088,257300865,2051983,2,0,2519040,3091730432,4294967296,390873088,221816429,1041322068,1041322068
train-1,local,eager,411200,fastqc,27757972,9468,172.4,369405952,63318627,2043504,2,143360,2396160,3087515648,4294967296,369405952,27757972,130201246,130201246
train-1,local,eager,1644400,fastqc,111047111,15738,182.3,338653184,146602106,2036547,2,524288,2412544,3078180864,4294967296,338653184,111047111,520689150,520689150
train-1,local,eager,6577200,fastqc,442941088,38505,189.7,381530112,478401027,2047538,2,253952,2506752,3091730432,4294967296,381530112,442941088,2082645444,2082645444
train-1,local,eager,13154200,fastqc,885333729,70356,173.2,379756544,920792693,2049687,2,167460864,2695168,3091730432,4294967296,381689856,885333729,4165233066,4165233066
train-1,local,eager,102800,fastqc,6936992,6615,160.7,331374592,42517613,2013079,2,2281472,2383872,3091730432,4294967296,331550720,6936992,32547762,32547762
train-1,local,eager,51400,fastqc,3472602,6489,180.6,335687680,38995578,2030045,2,118784,2412544,3091730432,4294967296,335687680,3472602,16270684,16270684
train-1,local,eager,25800,fastqc,1745321,5836,149.5,309866496,37242703,2032254,2,749568,2473984,3121119232,4294967296,315920384,1745321,8167824,8167824
train-1,local,eager,822200,adapter_removal,55489783,15091,173.1,118685696,149053869,103956700,8,12431360,104009728,18295529472,15032385536,119123968,55489928,260344527,260344382
train-1,local,eager,411200,adapter_removal,27757972,7146,193.0,119836672,76040545,52037158,8,0,52097024,18295529472,15032385536,119857152,27758117,130201391,130201246
train-1,local,eager,3288600,adapter_removal,221816429,54317,181.5,119361536,597560174,415313928,8,1265664,415395840,18295529472,15032385536,120565760,221816574,1041322213,1041322068
test,local,eager,26308272,adapter_removal,1515197090,432899,177.8,137502720,4401867251,3300336616,8,24956928,3300642816,18295529472,15032385536,137863168,1515197235,8330435839,8330435694
train-1,local,eager,13154200,adapter_removal,885333729,221121,178.4,126550016,2342294423,1652596815,8,45015040,1652776960,18295529472,15032385536,126550016,885333874,4165233211,4165233066
train-1,local,eager,205600,adapter_removal,13863699,3719,212.5,127094784,39482901,26049362,8,0,26099712,18295529472,15032385536,127094784,13863844,65101179,65101034
train-1,local,eager,1644400,adapter_removal,111047111,26878,185.7,120258560,295295663,207931119,8,0,208003072,18295529472,15032385536,120799232,111047256,520689295,520689150
train-1,local,eager,102800,adapter_removal,6936992,2071,203.8,72601600,21180774,13008437,8,0,13062144,18296430592,15032385536,72601600,6937137,32547907,32547762
train-1,local,eager,6577200,adapter_removal,442941088,106935,180.7,117645312,1169013471,828511698,8,0,828628992,18295529472,15032385536,117645312,442941233,2082645589,2082645444
train-1,local,eager,51400,adapter_removal,3472602,1314,188.0,89358336,12033927,6492857,8,307200,6549504,18295529472,15032385536,89358336,3472747,16270829,16270684
train-1,local,eager,25800,adapter_removal,1745321,734,230.5,11309056,7502158,3273678,8,0,3330048,207769600,15032385536,11309056,1745466,8167969,8167824
train-1,local,eager,822200,fastqc_after_clipping,55489783,7377,95.7,304869376,36506240,1013310,2,36954112,1208320,3023568896,4294967296,304959488,12492376,65681675,260344382
train-1,local,eager,411200,fastqc_after_clipping,27757972,4255,117.4,286871552,30280253,1044767,2,6262784,1232896,3023568896,4294967296,286912512,6254849,32867912,130201246
train-1,local,eager,3288600,fastqc_after_clipping,221816429,9238,114.0,315080704,73862459,981371,2,49864704,1171456,3019354112,4294967296,315080704,49861751,262596881,1041322068
test,local,eager,26308272,fastqc_after_clipping,1515197090,52260,103.4,353705984,426333405,971048,2,391770112,1200128,3019354112,4294967296,353705984,391768378,2100725230,8330435694
train-1,local,eager,13154200,fastqc_after_clipping,885333729,28244,105.3,324268032,220589233,969979,2,196595712,1200128,2941714432,4294967296,324268032,196594103,1050549818,4165233066
train-1,local,eager,205600,fastqc_after_clipping,13863699,4244,134.0,291667968,27188831,1128156,2,3133440,1318912,3023568896,4294967296,291729408,3130857,16448893,65101034
train-1,local,eager,1644400,fastqc_after_clipping,111047111,6214,122.6,301441024,48998464,998536,2,24993792,1187840,3019354112,4294967296,301441024,24990654,131384933,520689150
train-1,local,eager,102800,fastqc_after_clipping,6936992,3215,127.9,266002432,25612262,1097508,2,1568768,1290240,3023568896,4294967296,266031104,1565700,8202744,32547762
train-1,local,eager,6577200,fastqc_after_clipping,442941088,15207,109.2,297238528,123019032,965216,2,0,1163264,2941714432,4294967296,297238528,99025168,525235969,2082645444
train-1,local,eager,51400,fastqc_after_clipping,3472602,3198,140.8,260587520,24836837,1107317,2,0,1294336,3023568896,4294967296,260677632,782825,4084751,16270684
train-1,local,eager,25800,fastqc_after_clipping,1745321,3209,142.0,246902784,24457384,1131673,2,0,1327104,3023568896,4294967296,246992896,395650,2054183,8167824
test,local,eager,26308272,bwa,1515197090,1402931,699.7,3982639104,60040240198,3482426110,8,2252800,724848640,7381254144,15032385536,3983355904,391772474,2100729326,8330435694
train-1,local,eager,205600,bwa,13863699,12746,595.3,1755844608,1875682609,27759456,8,0,6746112,2863931392,15032385536,1878298624,3134953,16452989,65101034
train-1,local,eager,411200,bwa,27757972,22101,684.4,2135093248,1908918904,54968665,8,0,12800000,3339952128,15032385536,2296897536,6258945,32872008,130201246
train-1,local,eager,6577200,bwa,442941088,350085,699.3,3225763840,15804439155,867966036,8,0,184602624,7026761728,15032385536,3234144256,99029264,525240065,2082645444
train-1,local,eager,102800,bwa,6936992,6561,585.4,1369780224,1859041756,14040109,8,0,3604480,2252132352,15032385536,1371672576,1569796,8206840,32547762
train-1,local,eager,822200,bwa,55489783,44858,673.2,2462748672,3147581785,108828301,8,0,24522752,3412713472,15032385536,2462748672,12496472,65685771,260344382
train-1,local,eager,3288600,bwa,221816429,175048,693.8,2948595712,8238380030,435032496,8,0,93425664,7028998144,15032385536,3020410880,49865847,262600977,1041322068
train-1,local,eager,1644400,bwa,111047111,89898,673.4,2937872384,4454044051,217838147,8,0,47644672,5980372992,15032385536,2976337920,24994750,131389029,520689150
train-1,local,eager,13154200,bwa,885333729,696599,695.8,3292340224,30940024675,1738910267,8,0,366043136,7077416960,15032385536,3422937088,196598199,1050553914,4165233066
train-1,local,eager,51400,bwa,3472602,4130,432.2,928854016,1850744648,7163777,8,0,1986560,1701511168,15032385536,1007620096,786921,4088847,16270684
train-1,local,eager,25800,bwa,1745321,2645,385.5,911130624,1846646063,3751782,8,0,1159168,1662025728,15032385536,912408576,399746,2058279,8167824
test,local,eager,26308272,samtools_flagstat,1515197090,5162,88.2,4726784,433873169,578,1,0,4096,12365824,1073741824,4726784,434366225,434366225,8330435694
train-1,local,eager,6577200,samtools_flagstat,442941088,1303,92.8,4665344,111189199,577,1,0,4096,12365824,1073741824,4665344,112095236,112095236,2082645444
train-1,local,eager,411200,samtools_flagstat,27757972,108,70.3,4706304,7196969,572,1,0,4096,12365824,1073741824,4706304,8232160,8232160,130201246
train-1,local,eager,102800,samtools_flagstat,6936992,25,104.3,3104768,1852563,572,1,0,4096,5619712,1073741824,3104768,2458037,2458037,32547762
train-1,local,eager,205600,samtools_flagstat,13863699,95,50.6,4751360,3644579,571,1,0,4096,12365824,1073741824,4751360,4458868,4458868,65101034
train-1,local,eager,822200,samtools_flagstat,55489783,219,77.3,4714496,14249299,574,1,0,4096,12365824,1073741824,4714496,15397488,15397488,260344382
train-1,local,eager,1644400,samtools_flagstat,111047111,358,87.4,4743168,28280874,574,1,0,4096,12365824,1073741824,4743168,29414403,29414403,520689150
