Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
train-1,n1,chipseq,1702600,FASTQC,85945806,13722,114.1,647012352,101470022,1900543,6,16408576,2060288,4546658304,16106127360,647028736,85945806,287873850,287873850
train-1,n1,chipseq,1787400,FASTQC,94140088,13028,118.0,492351488,109697453,1935315,6,7880704,2101248,4476399616,16106127360,494804992,94140088,300472219,300472219
train-1,n1,chipseq,212900,FASTQC,10734726,4333,186.5,282361856,26272282,1935683,6,172032,2105344,4556795904,16106127360,287039488,10734726,35999394,35999394
train-1,n1,chipseq,223500,FASTQC,11751671,4337,183.7,282406912,27307158,1934706,6,0,2093056,4556795904,16106127360,287121408,11751671,37571177,37571177
test,n1,chipseq,27241477,FASTQC,1207988328,121410,101.8,1040355328,1223524948,1909269,6,3403776,2076672,4476399616,16106127360,1040355328,1207988328,4605965334,4605965334
train-1,n1,chipseq,14298700,FASTQC,748229782,66622,105.6,1107951616,763779030,1906576,6,2703360,2088960,4552601600,16106127360,1107951616,748229782,2403651367,2403651367
train-1,n1,chipseq,13620777,FASTQC,683568161,64385,105.7,1039597568,699097676,1912836,6,0,2068480,4476399616,16106127360,1039597568,683568161,2302988576,2302988576
train-1,n1,chipseq,7149400,FASTQC,374895855,35361,111.2,1042329600,390445684,1917223,6,0,2080768,4476399616,16106127360,1043140608,374895855,1201839227,1201839227
train-1,n1,chipseq,3405200,FASTQC,171591665,18372,119.8,760721408,187112619,1898864,6,0,2056192,4476399616,16106127360,760721408,171591665,575743734,575743734
test,n1,chipseq,28597378,FASTQC,1334020879,127396,103.0,1150222336,1349578978,1910517,6,0,2076672,4556795904,16106127360,1152876544,1334020879,4807293396,4807293396
train-1,n1,chipseq,893700,FASTQC,47090363,7557,162.0,396111872,62648715,1937334,6,385024,2105344,4556795904,16106127360,398372864,47090363,150242459,150242459
train-1,n1,chipseq,425700,FASTQC,21494257,5311,148.7,239906816,37022234,1915657,6,0,2084864,4552601600,16106127360,241156096,21494257,71979269,71979269
train-1,n1,chipseq,3574700,FASTQC,187899130,19342,119.4,852123648,203450918,1924464,6,0,2097152,4476399616,16106127360,852123648,187899130,600924066,600924066
train-1,n1,chipseq,446900,FASTQC,23529629,5308,148.2,238915584,39088013,1938566,6,0,2101248,4554698752,16106127360,238915584,23529629,75125401,75125401
train-1,n1,chipseq,13620777,TRIMGALORE,683568161,155829,467.4,2024394752,10718104166,9966251033,8,47366144,606670848,3198095360,16106127360,2088243200,683568161,2302988576,2302988576
train-1,n1,chipseq,6810400,FASTQC,342582205,40467,109.2,1037381632,358105364,1898619,6,1007616,2056192,4476399616,16106127360,1038336000,342582205,1151497954,1151497954
train-1,n1,chipseq,851300,FASTQC,43009231,7472,126.7,309616640,58534191,1906072,6,44068864,2064384,4552601600,16106127360,309616640,43009231,143937930,143937930
train-1,n1,chipseq,14298700,TRIMGALORE,748229782,168200,486.3,1897107456,11205355752,10386837221,8,27561984,665866240,3198095360,16106127360,2073214976,748229782,2403651367,2403651367
test,n1,chipseq,28597378,TRIMGALORE,1334020879,331973,493.6,2958897152,21996766047,20598734868,8,112545792,1324150784,3705663488,16106127360,2964987904,1334020879,4807293396,4807293396
train-1,n1,chipseq,1787400,TRIMGALORE,94140088,30341,372.0,460001280,1613718815,1448088943,8,2797568,85807104,3278520320,16106127360,471695360,94140088,300472219,300472219
train-1,n1,chipseq,212900,TRIMGALORE,10734726,6832,275.4,320237568,231690388,191233132,8,0,11669504,3278516224,16106127360,323043328,10734726,35999394,35999394
train-1,n1,chipseq,223500,TRIMGALORE,11751671,6895,274.2,244277248,241939387,199448375,8,0,12644352,3278516224,16106127360,244277248,11751671,37571177,37571177
train-1,n1,chipseq,1702600,TRIMGALORE,85945806,24932,408.3,440569856,1551175005,1395989022,8,0,78270464,3198124032,16106127360,440578048,85945806,287873850,287873850
train-1,n1,chipseq,6810400,TRIMGALORE,342582205,80697,463.6,1217142784,5481009874,5069418986,8,0,305405952,3198099456,16106127360,1221197824,342582205,1151497954,1151497954
test,n1,chipseq,27241477,TRIMGALORE,1207988328,303999,483.3,2844106752,21028047052,19757625142,8,75689984,1207001088,3588214784,16106127360,2859786240,1207988328,4605965334,4605965334
train-1,n1,chipseq,3405200,TRIMGALORE,171591665,46068,418.6,720445440,2860825085,2620320314,8,2322432,154103808,3198119936,16106127360,732336128,171591665,575743734,575743734
train-1,n1,chipseq,3574700,TRIMGALORE,187899130,48055,465.6,639971328,2983975390,2725067784,8,0,169230336,3198124032,16106127360,640200704,187899130,600924066,600924066
train-1,n1,chipseq,893700,TRIMGALORE,47090363,16118,376.5,291848192,904585006,791413450,8,0,43995136,3268378624,16106127360,303747072,47090363,150242459,150242459
train-1,n1,chipseq,446900,TRIMGALORE,23529629,9887,332.0,292339712,462795589,396738987,8,0,23072768,3278491648,16106127360,292442112,23529629,75125401,75125401
train-1,n1,chipseq,425700,TRIMGALORE,21494257,9588,313.1,277098496,442314043,380330351,8,24576,21188608,3278495744,16106127360,277958656,21494257,71979269,71979269
train-1,n1,chipseq,7149400,TRIMGALORE,374895855,85371,483.6,1244971008,5724974531,5279304851,8,0,335048704,3198095360,16106127360,1249026048,374895855,1201839227,1201839227
train-1,n1,chipseq,851300,TRIMGALORE,43009231,16006,357.8,296001536,863560683,758538204,8,10391552,40218624,3276394496,16106127360,296001536,43009231,143937930,143937930
train-1,n1,chipseq,13620777,BWA_MEM,683568161,657474,735.8,9824628736,9243055405,4045493560,8,5956009984,824889344,11081252864,16106127360,9833095168,604525340,2295640685,2302988576
train-1,n1,chipseq,14298700,BWA_MEM,748229782,596581,765.6,9746448384,9417515535,4233779536,8,2265874432,897880064,11081682944,16106127360,9747877888,663696061,2383077700,2403651367
test,n1,chipseq,28597378,BWA_MEM,1334020879,1166296,784.7,9773563904,13440601286,8496039028,8,1645936640,1795719168,11081703424,16106127360,9774727168,1321962924,4766177542,4807293396
train-1,n1,chipseq,1787400,BWA_MEM,94140088,86234,664.4,8954216448,5912942620,523752995,8,673878016,112013312,10018131968,16106127360,8965505024,83631636,298003581,300472219
train-1,n1,chipseq,212900,BWA_MEM,10734726,13331,553.7,5885132800,5476329165,62102089,8,19824640,12836864,6139691008,16106127360,5949399040,9531150,35889694,35999394
train-1,n1,chipseq,223500,BWA_MEM,11751671,12715,569.8,5905170432,5479022860,65024373,8,10457088,13991936,6139949056,16106127360,5905170432,10459320,37266983,37571177
train-1,n1,chipseq,1702600,BWA_MEM,85945806,80684,734.5,9235152896,5891189088,500357360,8,63561728,102887424,10412797952,16106127360,9243701248,76151634,286963049,287873850
train-1,n1,chipseq,6810400,BWA_MEM,342582205,307067,774.8,9810518016,7324482662,2015670108,8,259731456,412184576,11081248768,16106127360,9810542592,303290317,1147817846,1151497954
test,n1,chipseq,27241477,BWA_MEM,1207988328,1213221,788.0,9846763520,13091555770,8118369406,8,1060421632,1649950720,11081256960,16106127360,9848369152,1204855645,4591241389,4605965334
train-1,n1,chipseq,3405200,BWA_MEM,171591665,162239,737.5,9687871488,6367932348,1004235506,8,220368896,205914112,11081244672,16106127360,9735348224,151999406,573908650,575743734
train-1,n1,chipseq,3574700,BWA_MEM,187899130,150510,757.2,9582436352,6411500681,1051057630,8,172163072,224231424,10913894400,16106127360,9622384640,167060932,595779321,600924066
train-1,n1,chipseq,893700,BWA_MEM,47090363,41369,687.2,7267708928,5664332176,260928895,8,55353344,55963648,7938609152,16106127360,7267708928,41818558,149012900,150242459
train-1,n1,chipseq,446900,BWA_MEM,23529629,22051,641.7,6399778816,5540499192,130026363,8,20910080,27971584,6761873408,16106127360,6399803392,20910406,74512380,75125401
train-1,n1,chipseq,425700,BWA_MEM,21494257,22720,650.8,6415507456,5535104666,124176706,8,19058688,25665536,6761357312,16106127360,6415507456,19057691,71754978,71979269
train-1,n1,chipseq,7149400,BWA_MEM,374895855,318534,776.4,9714356224,7411375339,2109490725,8,306798592,448712704,11081674752,16106127360,9714380800,332881937,1191554854,1201839227
train-1,n1,chipseq,851300,BWA_MEM,43009231,42866,689.3,7307042816,5653545416,249281949,8,38735872,51392512,7937576960,16106127360,7307042816,38106247,143487109,143937930
