Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
train-1,n2,atacseq,147000,FASTQC,7287465,8009,193.0,221007872,38104654,3575557,6,192512,3870720,4553777152,16106127360,221007872,7287465,27547568,27547568
train-1,n2,atacseq,293800,FASTQC,14554208,6638,180.5,277544960,45378393,3597641,6,323584,3899392,4555874304,16106127360,279670784,14554208,55059168,55059168
train-1,n2,atacseq,1175000,FASTQC,58238751,10548,157.8,341487616,89067489,3611261,6,32768,3903488,4555874304,16106127360,352882688,58238751,220203968,220203968
train-1,n2,atacseq,4699600,FASTQC,233161053,26667,122.5,808144896,264007342,3649160,6,262144,3932160,4553777152,16106127360,808144896,233161053,880745968,880745968
train-1,n2,atacseq,18798126,FASTQC,931822514,86728,107.4,1086152704,962683345,3679318,6,180224,3973120,4551680000,16106127360,1086152704,931822514,3522936056,3522936056
train-1,n2,atacseq,587600,FASTQC,29105620,8509,176.4,276316160,59929620,3600287,6,24576,3895296,4555874304,16106127360,276316160,29105620,110119968,110119968
train-1,n2,atacseq,2349800,FASTQC,116545329,15577,137.2,531832832,147378991,3621667,6,0,3915776,4555874304,16106127360,533102592,116545329,440371968,440371968
train-1,n2,atacseq,37596126,FASTQC,1862380804,168765,103.4,1044926464,1893323194,3700649,6,816590848,3997696,4546039808,16106127360,1044926464,1862380804,7045849256,7045849256
train-1,n2,atacseq,73600,FASTQC,3653358,6545,162.7,279748608,34404707,3592948,6,1720320,3891200,4556292096,16106127360,280600576,3653358,13791968,13791968
train-1,n2,atacseq,9399126,FASTQC,466177547,47667,112.1,1038938112,497035035,3669625,6,467255296,3944448,4475781120,16106127360,1038938112,466177547,1761479256,1761479256
train-1,n2,atacseq,4699600,TRIMGALORE,233161053,73749,504.6,555057152,6708721686,6395955977,8,6586368,391450624,3197648896,16106127360,566112256,233161053,880745968,880745968
train-1,n2,atacseq,147000,TRIMGALORE,7287465,10217,258.7,200790016,255994237,211744596,8,274432,16154624,3275640832,16106127360,200790016,7287465,27547568,27547568
train-1,n2,atacseq,18798126,TRIMGALORE,931822514,268922,530.6,1525182464,26021012574,25009592914,8,52391936,1553661952,3205353472,16106127360,1570832384,931822514,3522936056,3522936056
train-1,n2,atacseq,2349800,TRIMGALORE,116545329,41892,465.8,353210368,3490321579,3294129147,8,24576,197820416,3197620224,16106127360,360525824,116545329,440371968,440371968
train-1,n2,atacseq,37596126,TRIMGALORE,1862380804,529811,535.2,2145832960,51769771488,49827772980,8,736632832,3102883840,3275612160,16106127360,2153381888,1862380804,7045849256,7045849256
train-1,n2,atacseq,293800,TRIMGALORE,14554208,10946,318.8,262561792,474105132,419189853,8,847872,28246016,3273523200,16106127360,262561792,14554208,55059168,55059168
train-1,n2,atacseq,1175000,TRIMGALORE,58238751,23719,430.8,243884032,1784364305,1665520056,8,0,100958208,3197620224,16106127360,258293760,58238751,220203968,220203968
train-1,n2,atacseq,587600,TRIMGALORE,29105620,14560,388.6,305512448,910810075,834600098,8,0,52506624,3277717504,16106127360,308248576,29105620,110119968,110119968
train-1,n2,atacseq,73600,TRIMGALORE,3653358,6291,256.0,229007360,146892630,107969488,8,1695744,10088448,3275640832,16106127360,229007360,3653358,13791968,13791968
train-1,n2,atacseq,9399126,TRIMGALORE,466177547,137933,523.6,921137152,13145271594,12599497356,8,317337600,778788864,3273523200,16106127360,924934144,466177547,1761479256,1761479256
test,n2,atacseq,75192126,FASTQC,3259653689,342143,97.3,1039650816,3290596868,3701711,6,3262951424,3993600,4475781120,16106127360,1039650816,3259653689,14091675276,14091675276
test,n2,atacseq,75192126,TRIMGALORE,3259653689,1057689,534.7,3387105280,102788727104,99455488373,8,1470205952,6195027968,4158271488,16106127360,3428126720,3259653689,14091675276,14091675276
train-1,n2,atacseq,147000,BWA_MEM,7287465,56947,72.2,5479329792,5465242617,51207361,8,5427736576,9555968,6205173760,16106127360,5479727104,6056177,25258892,27547568
train-1,n2,atacseq,4699600,BWA_MEM,233161053,182937,626.5,7111921664,6960823489,1655332586,8,4646969344,305164288,8251990016,16106127360,7112732672,192983961,807128020,880745968
train-1,n2,atacseq,18798126,BWA_MEM,931822514,604660,749.9,7272644608,11627515577,6658509373,8,4394323968,1220943872,8291209216,16106127360,7272677376,771829785,3228323076,3522936056
train-1,n2,atacseq,2349800,BWA_MEM,116545329,104850,535.2,6975385600,6189224973,827668983,8,4050485248,152588288,8224100352,16106127360,6978928640,96540864,403584188,440371968
train-1,n2,atacseq,37596126,BWA_MEM,1862380804,1154154,776.7,7299751936,17874583827,13353500689,8,3937136640,2441052160,8496779264,16106127360,7307370496,1543427085,6456474336,7045849256
train-1,n2,atacseq,293800,BWA_MEM,14554208,42346,172.0,5745991680,5513120190,102576183,8,3490529280,19075072,6940622848,16106127360,5752995840,12079134,50436264,55059168
train-1,n2,atacseq,1175000,BWA_MEM,58238751,50949,544.7,6628626432,5802286600,412726016,8,1457811456,76296192,7821824000,16106127360,6654124032,48294256,201814236,220203968
train-1,n2,atacseq,587600,BWA_MEM,29105620,29582,474.6,6031437824,5609313671,205759479,8,1138159616,38146048,6320500736,16106127360,6031437824,24155072,100881862,110119968
train-1,n2,atacseq,73600,BWA_MEM,3653358,8322,240.3,5469126656,5441378579,25598601,8,379822080,4792320,6130032640,16106127360,5523910656,3042898,12663994,13791968
train-1,n2,atacseq,9399126,BWA_MEM,466177547,288026,779.5,7188594688,8513263768,3319827354,8,385970176,610279424,8291209216,16106127360,7188631552,385901032,1614130108,1761479256
test,n2,atacseq,75192126,BWA_MEM,3259653689,2257694,788.0,7584759808,30401707108,26785685126,8,4327407616,4887404544,8901529600,16106127360,7585034240,3083521531,12912163236,14091675276
train-1,n2,atacseq,147000,SORT_BAM,7287465,939,151.4,3469312,40368473,11979997,6,10240000,11993088,7282688,16106127360,3469312,9549300,9549300,27547568
train-1,n2,atacseq,4699600,SORT_BAM,233161053,19894,205.6,1444884480,1123495974,275776503,6,305016832,275927040,6109855744,16106127360,1551220736,305014906,305014906,880745968
train-1,n2,atacseq,18798126,SORT_BAM,931822514,91096,221.4,5249540096,5300567355,2076030206,6,1221844992,2076606464,6714658816,16106127360,5645840384,1220325816,1220325816,3522936056
train-1,n2,atacseq,2349800,SORT_BAM,116545329,10371,202.3,728469504,577222349,144631829,6,152510464,144707584,6009192448,16106127360,779722752,152509997,152509997,440371968
train-1,n2,atacseq,37596126,SORT_BAM,1862380804,176184,224.8,5248356352,10276383887,4018647534,6,3494707200,4019793920,6312824832,16106127360,5645570048,2439820029,2439820029,7045849256
train-1,n2,atacseq,293800,SORT_BAM,14554208,1488,180.3,7467008,77878928,21666695,6,19079168,21684224,13905920,16106127360,7467008,19063511,19063511,55059168
train-1,n2,atacseq,1175000,SORT_BAM,58238751,5218,205.6,369549312,295970564,76094112,6,76263424,76136448,5958860800,16106127360,393216000,76260433,76260433,220203968
train-1,n2,atacseq,587600,SORT_BAM,29105620,3022,182.6,9297920,151638667,40311580,6,38129664,40337408,15011840,16106127360,9297920,38128368,38128368,110119968
train-1,n2,atacseq,73600,SORT_BAM,3653358,502,151.4,7864320,21297590,6942682,6,4792320,6955008,5241679872,16106127360,7864320,4791307,4791307,13791968
train-1,n2,atacseq,9399126,SORT_BAM,466177547,38268,209.4,2882957312,2182355303,526709299,6,609988608,526995456,6311186432,16106127360,3101339648,609979931,609979931,1761479256
test,n2,atacseq,75192126,SORT_BAM,3259653689,400835,192.3,5249990656,19813089198,7725034427,6,8425414656,7727308800,6314467328,16106127360,5645185024,4884922715,4884922715,14091675276
train-1,n2,atacseq,1175000,MERGED_LIB_BAM,58238751,29401,140.4,7095214080,379323877,77533387,6,68853760,77594624,20462424064,16106127360,7095214080,76029298,76029298,220203968
train-1,n2,atacseq,18798126,MERGED_LIB_BAM,931822514,311161,122.3,8623603712,5079883829,1027403884,6,1749635072,1027485696,20427812864,16106127360,8623603712,1005232680,1005232680,3522936056
train-1,n2,atacseq,147000,MERGED_LIB_BAM,7287465,8958,163.5,5081530368,64075234,12693152,6,18690048,12779520,20189761536,16106127360,5081530368,11921526,11921526,27547568
train-1,n2,atacseq,293800,MERGED_LIB_BAM,14554208,10155,194.1,5540827136,110553343,22470473,6,18542592,22536192,20189761536,16106127360,5540827136,21606147,21606147,55059168
train-1,n2,atacseq,587600,MERGED_LIB_BAM,29105620,15892,163.0,6022721536,201681516,41294642,6,36569088,41349120,20326092800,16106127360,6022721536,40249210,40249210,110119968
train-1,n2,atacseq,37596126,MERGED_LIB_BAM,1862380804,613946,131.9,11893288960,9682322098,1960813720,6,4310110208,1961000960,20530589696,16106127360,11894079488,1911578627,1911578627,7045849256
train-1,n2,atacseq,4699600,MERGED_LIB_BAM,233161053,86928,119.9,8231956480,1384875734,280576594,6,296198144,280641536,20530589696,16106127360,8232079360,275699574,275699574,880745968
train-1,n2,atacseq,2349800,MERGED_LIB_BAM,116545329,46872,137.4,7147921408,723104042,147109068,6,140013568,147177472,20394258432,16106127360,7147921408,144562326,144562326,440371968
train-1,n2,atacseq,73600,MERGED_LIB_BAM,3653358,5750,209.9,4872589312,40407038,7611496,6,4751360,7704576,20189761536,16106127360,4990111744,6885464,6885464,13791968
test,n2,atacseq,75192126,MERGED_LIB_BAM,3259653689,1213841,129.5,8426717184,19250891176,4660434032,6,8233926656,4660736000,20533039104,16106127360,8426811392,3604177866,3604177866,14091675276
train-1,n2,atacseq,9399126,MERGED_LIB_BAM,466177547,164734,114.0,7927566336,2654429871,536782153,6,1122885632,536842240,20530589696,16106127360,7927574528,526623996,526623996,1761479256
train-1,n2,atacseq,1175000,MERGED_LIB_BAM_FILTER,58238751,18715,160.5,14077952,386717493,196268882,6,1523712,130318336,23367680,16106127360,14204928,76696366,76696366,220203968
train-1,n2,atacseq,18798126,MERGED_LIB_BAM_FILTER,931822514,272849,168.4,5547769856,5278073675,2756277889,6,45056,1851314176,6542700544,16106127360,5547769856,1024430618,1024430618,3522936056
train-1,n2,atacseq,147000,MERGED_LIB_BAM_FILTER,7287465,2468,153.1,13971456,52252669,27067824,6,131072,18542592,23363584,16106127360,14098432,11986479,11986479,27547568
train-1,n2,atacseq,293800,MERGED_LIB_BAM_FILTER,14554208,4725,157.6,14151680,101444759,51839677,6,4096,34930688,23367680,16106127360,14278656,21743412,21743412,55059168
train-1,n2,atacseq,587600,MERGED_LIB_BAM_FILTER,29105620,9541,157.2,84570112,198091964,100653695,6,0,67153920,5883351040,16106127360,182611968,40529814,40529814,110119968
train-1,n2,atacseq,37596126,MERGED_LIB_BAM_FILTER,1862380804,531259,173.9,5599637504,10947726459,6273310271,6,3760128,4586627072,6612340736,16106127360,5599637504,1955594683,1955594683,7045849256
train-1,n2,atacseq,4699600,MERGED_LIB_BAM_FILTER,233161053,72764,163.8,1326518272,1449196865,742504645,6,247160832,493658112,6009196544,16106127360,1418182656,279293196,279293196,880745968
train-1,n2,atacseq,2349800,MERGED_LIB_BAM_FILTER,116545329,37036,162.4,671633408,751150943,382353858,6,4096,253661184,5958864896,16106127360,715288576,146121644,146121644,440371968
train-1,n2,atacseq,73600,MERGED_LIB_BAM_FILTER,3653358,1261,148.0,13918208,27247066,14473137,6,0,10190848,23228416,16106127360,14049280,6914104,6914104,13791968
test,n2,atacseq,75192126,MERGED_LIB_BAM_FILTER,3259653689,1039672,168.4,5460144128,21204446483,12725038529,6,3348221952,9675874304,6470881280,16106127360,5602148352,3705266001,3705266001,14091675276
train-1,n2,atacseq,9399126,MERGED_LIB_BAM_FILTER,466177547,140314,166.0,2819731456,2778139477,1436361905,6,459919360,959201280,6222565376,16106127360,2819731456,534928962,534928962,1761479256
train-1,n2,atacseq,1175000,MERGED_LIB_BAM_REMOVE_ORPHAN,58238751,11003,125.4,328957952,313025439,126748085,6,80900096,126795776,5933699072,16106127360,347770880,130211136,130211136,220203968
train-1,n2,atacseq,18798126,MERGED_LIB_BAM_REMOVE_ORPHAN,931822514,136318,148.8,5017092096,4451060768,1796017042,6,1011044352,1796521984,6311190528,16106127360,5379698688,1850735800,1850735800,3522936056
train-1,n2,atacseq,147000,MERGED_LIB_BAM_REMOVE_ORPHAN,7287465,1755,106.9,21864448,42693177,18007001,6,11309056,18026496,33370112,16106127360,21864448,18469666,18469666,27547568
train-1,n2,atacseq,293800,MERGED_LIB_BAM_REMOVE_ORPHAN,14554208,2511,141.2,21938176,81940096,33914262,6,16195584,33935360,33370112,16106127360,21938176,34851263,34851263,55059168
train-1,n2,atacseq,587600,MERGED_LIB_BAM_REMOVE_ORPHAN,29105620,4830,143.4,21876736,159880895,65301229,6,32489472,65331200,33370112,16106127360,21876736,67065184,67065184,110119968
train-1,n2,atacseq,37596126,MERGED_LIB_BAM_REMOVE_ORPHAN,1862380804,279588,153.9,5296369664,9419873364,4402068272,6,3410878464,4403056640,6341648384,16106127360,5602279424,3517830403,3517830403,7045849256
