Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
train-1,wallyRedCpu,chipseq,223500,FASTQC,11751671,5560,137.1,279805952,27307086,1938621,6,17977344,2142208,4556804096,16106127360,282648576,11751671,37571177,37571177
train-1,wallyRedCpu,chipseq,1787400,FASTQC,94140088,11559,122.1,525320192,109695033,1939215,6,8089600,2150400,4552609792,16106127360,525520896,94140088,300472219,300472219
train-1,wallyRedCpu,chipseq,13620777,FASTQC,683568161,62564,102.8,1111621632,699097304,1916763,6,20140032,2166784,4554706944,16106127360,1113481216,683568161,2302988576,2302988576
test,wallyRedCpu,chipseq,28597378,FASTQC,1334020879,121584,101.7,1118265344,1349577832,1914447,6,6684672,2228224,4556804096,16106127360,1118380032,1334020879,4807293396,4807293396
train-1,wallyRedCpu,chipseq,212900,FASTQC,10734726,4444,153.5,263348224,26270620,1939598,6,1409024,2154496,4556804096,16106127360,263348224,10734726,35999394,35999394
train-1,wallyRedCpu,chipseq,14298700,FASTQC,748229782,64440,105.2,1039581184,763777430,1910480,6,6373376,2207744,4476407808,16106127360,1039581184,748229782,2403651367,2403651367
test,wallyRedCpu,chipseq,27241477,FASTQC,1207988328,115721,101.9,1039990784,1223523480,1913199,6,9576448,2207744,4476407808,16106127360,1040281600,1207988328,4605965334,4605965334
train-1,wallyRedCpu,chipseq,1702600,FASTQC,85945806,10458,135.2,764514304,101467979,1904458,6,1073152,2105344,4556804096,16106127360,764514304,85945806,287873850,287873850
train-1,wallyRedCpu,chipseq,3405200,FASTQC,171591665,17379,122.8,746209280,187111124,1902779,6,0,2105344,4476407808,16106127360,746209280,171591665,575743734,575743734
train-1,wallyRedCpu,chipseq,3574700,FASTQC,187899130,18389,120.5,1046286336,203451208,1928379,6,8695808,2207744,4476407808,16106127360,1046347776,187899130,600924066,600924066
train-1,wallyRedCpu,chipseq,425700,FASTQC,21494257,5695,141.5,282918912,37021031,1919584,6,2564096,2134016,4556804096,16106127360,287248384,21494257,71979269,71979269
train-1,wallyRedCpu,chipseq,446900,FASTQC,23529629,5329,176.9,291700736,39085660,1942482,6,0,2150400,4556804096,16106127360,296415232,23529629,75125401,75125401
train-1,wallyRedCpu,chipseq,6810400,FASTQC,342582205,33418,103.6,1058451456,358103479,1902519,6,7802880,2224128,4583817216,16106127360,1059856384,342582205,1151497954,1151497954
train-1,wallyRedCpu,chipseq,1702600,TRIMGALORE,85945806,27356,365.3,453689344,1551171868,1395992908,8,21983232,78340096,3198111744,16106127360,457748480,85945806,287873850,287873850
test,wallyRedCpu,chipseq,28597378,TRIMGALORE,1334020879,323936,494.2,3003998208,21996759089,20598738791,8,362643456,1324265472,3777138688,16106127360,3038392320,1334020879,4807293396,4807293396
train-1,wallyRedCpu,chipseq,14298700,TRIMGALORE,748229782,169649,477.3,1912569856,11205351510,10386841158,8,51875840,665931776,3198107648,16106127360,2068271104,748229782,2403651367,2403651367
train-1,wallyRedCpu,chipseq,13620777,TRIMGALORE,683568161,153716,469.9,2013925376,10718098706,9966254981,8,47308800,606724096,3274313728,16106127360,2100862976,683568161,2302988576,2302988576
train-1,wallyRedCpu,chipseq,223500,TRIMGALORE,11751671,7188,277.2,261881856,241936517,199452296,8,704512,12693504,3278528512,16106127360,261984256,11751671,37571177,37571177
test,wallyRedCpu,chipseq,27241477,TRIMGALORE,1207988328,288687,497.3,2896564224,21028041648,19757629142,8,263086080,1207111680,3648245760,16106127360,2909503488,1207988328,4605965334,4605965334
train-1,wallyRedCpu,chipseq,1787400,TRIMGALORE,94140088,28361,394.8,420696064,1613713991,1448092847,8,5910528,85872640,3198107648,16106127360,428408832,94140088,300472219,300472219
train-1,wallyRedCpu,chipseq,212900,TRIMGALORE,10734726,6602,291.6,277934080,231686625,191237046,8,0,11718656,3278508032,16106127360,278773760,10734726,35999394,35999394
